municipio,count
Abasolo,6
Acámbaro,8
Apaseo el Alto,3
Apaseo el Grande,3
Atarjea,0
Celaya,20
Comonfort,4
Coroneo,1
Cortazar,7
Cuerámaro,4
Doctor Mora,1
Dolores Hidalgo Cuna de la Independencia Nacional,5
Guanajuato,25
Guanajuato,25
Huanímaro,1
Irapuato,37
Jaral del Progreso,0
Jerécuaro,2
León,105
Manuel Doblado,3
Moroleón,3
Municipio no especificado,0
Ocampo,0
Pueblo Nuevo,0
Purísima del Rincón,3
Pénjamo,8
Romita,1
Salamanca,24
Salvatierra,5
San Diego de la Unión,1
San Felipe,1
San Francisco del Rincón,9
San José Iturbide,4
San Luis de la Paz,8
San Miguel de Allende,8
Santa Catarina,0
Santa Cruz de Juventino Rosas,6
Santiago Maravatío,1
Silao,8
Tarandacuao,1
Tarimoro,1
Tierra Blanca,1
Uriangato,7
Valle de Santiago,10
Victoria,1
Villagrán,2
Xichú,0
Yuriria,1
