municipio,count
Abasolo,0
Acámbaro,5
Apaseo el Alto,2
Apaseo el Grande,3
Atarjea,0
Celaya,23
Comonfort,4
Coroneo,0
Cortazar,4
Cuerámaro,1
Doctor Mora,0
Dolores Hidalgo Cuna de la Independencia Nacional,1
Guanajuato,9
Guanajuato,9
Huanímaro,1
Irapuato,15
Jaral del Progreso,2
Jerécuaro,1
León,56
Manuel Doblado,1
Moroleón,1
Municipio no especificado,0
Ocampo,0
Pueblo Nuevo,2
Purísima del Rincón,1
Pénjamo,3
Romita,1
Salamanca,9
Salvatierra,2
San Diego de la Unión,0
San Felipe,5
San Francisco del Rincón,5
San José Iturbide,2
San Luis de la Paz,5
San Miguel de Allende,2
Santa Catarina,0
Santa Cruz de Juventino Rosas,0
Santiago Maravatío,0
Silao,4
Tarandacuao,0
Tarimoro,2
Tierra Blanca,1
Uriangato,2
Valle de Santiago,4
Victoria,0
Villagrán,2
Xichú,0
Yuriria,3
