municipio,count
Abasolo,6
Acámbaro,5
Apaseo el Alto,1
Apaseo el Grande,4
Atarjea,0
Celaya,23
Comonfort,1
Coroneo,0
Cortazar,9
Cuerámaro,1
Doctor Mora,0
Dolores Hidalgo Cuna de la Independencia Nacional,6
Guanajuato,12
Guanajuato,12
Huanímaro,4
Irapuato,42
Jaral del Progreso,2
Jerécuaro,2
León,105
Manuel Doblado,0
Moroleón,4
Municipio no especificado,0
Ocampo,0
Pueblo Nuevo,0
Purísima del Rincón,2
Pénjamo,12
Romita,5
Salamanca,16
Salvatierra,6
San Diego de la Unión,4
San Felipe,5
San Francisco del Rincón,6
San José Iturbide,4
San Luis de la Paz,9
San Miguel de Allende,5
Santa Catarina,0
Santa Cruz de Juventino Rosas,9
Santiago Maravatío,0
Silao,10
Tarandacuao,0
Tarimoro,2
Tierra Blanca,3
Uriangato,1
Valle de Santiago,8
Victoria,1
Villagrán,3
Xichú,0
Yuriria,2
